web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,item_page_title,item_page_link,Rate,Seller_Name,Seller_Rating,Available_Colors,Product_SKU,Product_Description,product title,original price,discount,final price,image_1,image_3,Spec,comment count,rezayat
"1771406630-48","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-49","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-50","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-51","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-52","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-53","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-54","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-55","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-56","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-57","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-58","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-59","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-60","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
