web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,image,image2,item_page_title,item_page_link,rate,Number_of_Comments,Seller_Performance_1,title_1,final price,Seller_Rating,image_3,image_7,variants,specs1,descriptiom,specs 2,bramd
"1771408498-29","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-30","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-31","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-32","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-33","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-34","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-35","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-36","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-37","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-38","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-39","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-40","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-41","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-42","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-43","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-44","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-45","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-46","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-47","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-48","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-49","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-50","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-51","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-52","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-53","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-54","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-55","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-56","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-57","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-58","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-59","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-60","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-61","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-62","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-63","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-64","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-65","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-66","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-67","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-68","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-69","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-70","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-71","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-72","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-73","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-74","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-75","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-76","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-77","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-78","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-79","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-80","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
