web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,image,image2,item_page_title,item_page_link,RATE,Seller_Name,Seller_Performance,Product_Description,image_1,image_2,COMMENT COUNT,Price,Product Title,Specs 1,Specs 2,Category,Sub Category,Sub Cat 2
"1771405931-58","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-59","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-60","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-61","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-62","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-63","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-64","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-65","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-66","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-67","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-68","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-69","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-70","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-71","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-72","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-73","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-74","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-75","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
