web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,item_page_title,item_page_link,rate,Seller_Name,Seller_Performance,Product_Description,product title,original price,image_1,image_3,variant,final price,specs1,specs 2
"1771409282-32","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-33","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-34","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-35","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-36","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-37","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-38","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-39","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-40","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-41","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-42","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-43","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-44","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-45","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-46","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-47","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-48","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-49","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-50","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-51","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-52","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-53","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-54","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-55","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-56","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-57","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-58","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-59","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-60","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-61","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-62","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-63","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-64","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-65","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-66","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-67","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-68","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-69","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-70","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-71","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-72","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-73","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-74","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-75","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-76","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-77","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-78","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-79","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-80","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-81","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-82","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-83","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-84","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
